# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
81,0.161000,-0.800001,-0.600004,0.834936,-0.799999,0.599996,0.835046,0.800001,0.599994,0.835052,0.799999,-0.600006,0.834942,-0.800001,-0.599993,0.714936,-0.799999,0.600007,0.715046,0.800001,0.600005,0.715052,0.799999,-0.599995,0.714942
82,0.163000,-0.800001,-0.600004,0.831871,-0.799999,0.599996,0.831986,0.800001,0.599993,0.831993,0.799999,-0.600007,0.831878,-0.800001,-0.599992,0.711871,-0.799999,0.600008,0.711986,0.800001,0.600005,0.711993,0.799999,-0.599995,0.711878
83,0.165000,-0.800001,-0.600004,0.828771,-0.799999,0.599996,0.828892,0.800001,0.599993,0.828899,0.799999,-0.600007,0.828778,-0.800001,-0.599992,0.708771,-0.799999,0.600008,0.708892,0.800001,0.600005,0.708899,0.799999,-0.599995,0.708778
84,0.167000,-0.800001,-0.600004,0.825636,-0.799999,0.599996,0.825763,0.800001,0.599993,0.825770,0.799999,-0.600007,0.825643,-0.800001,-0.599992,0.705636,-0.799999,0.600008,0.705763,0.800001,0.600006,0.705770,0.799999,-0.599994,0.705643
85,0.169000,-0.800001,-0.600005,0.822465,-0.799999,0.599995,0.822599,0.800001,0.599992,0.822607,0.799999,-0.600008,0.822473,-0.800001,-0.599991,0.702465,-0.799999,0.600009,0.702599,0.800001,0.600006,0.702607,0.799999,-0.599994,0.702473
86,0.171000,-0.800001,-0.600005,0.819260,-0.799999,0.599995,0.819401,0.800001,0.599992,0.819409,0.799999,-0.600008,0.819268,-0.800001,-0.599991,0.699260,-0.799999,0.600009,0.699401,0.800001,0.600006,0.699409,0.799999,-0.599994,0.699268
87,0.173000,-0.800001,-0.600005,0.816020,-0.799999,0.599995,0.816167,0.800001,0.599992,0.816176,0.799999,-0.600008,0.816028,-0.800001,-0.599991,0.696020,-0.799999,0.600009,0.696167,0.800001,0.600007,0.696176,0.799999,-0.599993,0.696028
88,0.175000,-0.800001,-0.600006,0.812744,-0.799999,0.599994,0.812900,0.800001,0.599991,0.812909,0.799999,-0.600009,0.812754,-0.800001,-0.599990,0.692744,-0.799999,0.600010,0.692900,0.800001,0.600007,0.692909,0.799999,-0.599993,0.692754
89,0.177000,-0.800001,-0.600006,0.809435,-0.799999,0.599994,0.809597,0.800001,0.599991,0.809607,0.799999,-0.600009,0.809444,-0.800001,-0.599990,0.689435,-0.799999,0.600010,0.689597,0.800001,0.600007,0.689607,0.799999,-0.599993,0.689444
90,0.179000,-0.800001,-0.600007,0.806090,-0.799999,0.599993,0.806260,0.800001,0.599991,0.806270,0.799999,-0.600009,0.806100,-0.800001,-0.599989,0.686090,-0.799999,0.600010,0.686260,0.800001,0.600008,0.686270,0.799999,-0.599992,0.686100
91,0.181000,-0.800001,-0.600007,0.802711,-0.799999,0.599993,0.802889,0.800001,0.599990,0.802900,0.799999,-0.600010,0.802722,-0.800001,-0.599989,0.682711,-0.799999,0.600011,0.682889,0.800001,0.600008,0.682900,0.799999,-0.599992,0.682722
92,0.183000,-0.800001,-0.600007,0.799297,-0.799999,0.599993,0.799484,0.800001,0.599990,0.799495,0.799999,-0.600010,0.799308,-0.800001,-0.599989,0.679297,-0.799999,0.600011,0.679484,0.800001,0.600009,0.679495,0.799999,-0.599991,0.679308
